=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-12-10_18-10-8
====================================================================================
18:10:8 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
18:10:8 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
18:10:8 | [PermissionManager] Perm (FreeCamera) has been registered!
18:10:8 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
18:10:8 | [PermissionManager] Perm (MenuItemManager) has been registered!
18:10:8 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
18:10:8 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
18:10:8 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
18:10:8 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
18:10:8 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
18:10:8 | [PermissionManager] Perm (MenuServerManager) has been registered!
18:10:8 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
18:10:8 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
18:10:8 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
18:10:8 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
18:10:8 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
18:10:8 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
18:10:8 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
18:10:8 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
18:10:8 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
18:10:8 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
18:10:8 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
18:10:8 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
18:10:8 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
18:10:8 | [PermissionManager] Perm (MenuObjectManager) has been registered!
18:10:8 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
18:10:8 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
18:10:8 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
18:10:8 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
18:10:8 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
18:10:8 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
18:10:8 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
18:10:8 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
18:10:8 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
18:10:8 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
18:10:8 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
18:10:8 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
18:10:8 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
18:10:8 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
18:10:8 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
18:10:8 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
18:10:8 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
18:10:8 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
18:10:8 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
18:10:8 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
18:10:8 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
18:10:8 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
18:10:8 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
18:10:8 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
18:10:8 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
18:10:8 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
18:10:8 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
18:10:8 | [PermissionManager] Perm (MenuBansManager) has been registered!
18:10:8 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
18:10:8 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
18:10:8 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
18:10:8 | [PermissionManager] Perm (MenuWebHooks) has been registered!
18:10:8 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
18:10:8 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
18:10:8 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
18:10:8 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
18:10:8 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
18:10:8 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
18:10:8 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
18:10:8 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
18:10:8 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
18:10:8 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
18:10:8 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
18:10:8 | [PermissionManager] Perm (EspToolsMenu) has been registered!
18:10:8 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
18:10:8 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
18:10:8 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
18:10:8 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
18:10:8 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
18:10:8 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
18:10:8 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
18:10:8 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
18:10:8 | [PermissionManager] Adding Super Admin (76561198040522771)
18:10:8 | [PermissionManager] Loaded UserGroups.json
18:10:8 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
18:10:8 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
18:10:8 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
18:10:8 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
18:10:8 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
18:10:8 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
18:10:8 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
18:10:8 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
18:10:8 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
18:10:8 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
18:10:8 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
18:10:8 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
18:10:8 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
18:10:8 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
18:10:8 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
18:10:8 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
18:10:8 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
18:10:8 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
18:10:8 | Building Sets Loaded: 0
18:10:8 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
18:10:8 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
18:12:26 | Player "Vex" (steamId=76561198040522771) connected to server!
18:13:1 | "Vex" (steamid=76561198040522771) toggled godmode
18:13:17 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4131.822266, 2.755909, 2216.239258>)
18:13:20 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4153.558594, 2.062952, 2229.709473>)
18:13:20 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4157.926270, 3.467099, 2233.713867>)
18:13:21 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4169.151367, 1.943421, 2250.668701>)
18:13:21 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4180.602539, 2.004599, 2267.660645>)
18:13:22 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4195.842285, 2.644142, 2291.688965>)
18:13:22 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4205.257813, 3.375330, 2305.683838>)
18:13:22 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4210.706055, 4.821596, 2313.973389>)
18:13:22 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4218.158691, 5.896905, 2324.934326>)
18:13:23 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4244.964844, 4.863981, 2364.810303>)
18:13:23 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4252.602539, 5.834506, 2376.156006>)
18:13:23 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4262.344238, 6.596559, 2390.622314>)
18:13:24 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4267.381348, 7.834977, 2398.095703>)
18:13:24 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4272.959961, 9.067491, 2405.916992>)
18:13:24 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4279.241211, 10.205102, 2414.490723>)
18:13:25 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4295.845215, 10.580584, 2421.387695>)
18:13:27 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4323.659668, 8.174395, 2417.384766>)
18:13:27 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4343.944824, 6.346814, 2411.082275>)
18:13:28 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4358.617188, 6.728753, 2407.963623>)
18:13:28 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4366.540527, 7.896189, 2408.405273>)
18:13:34 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4414.968750, 6.609029, 2438.452637>)
18:13:34 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4429.660645, 6.614281, 2447.294434>)
18:13:35 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4442.874512, 6.591493, 2454.746826>)
18:13:38 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4466.702637, 6.098373, 2458.949463>)
18:13:40 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4484.244629, 5.828718, 2446.758545>)
18:13:44 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4502.045410, 5.411625, 2444.351563>)
18:13:47 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4531.530273, 5.577196, 2442.418945>)
18:13:47 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4553.496094, 5.816066, 2435.618896>)
18:13:47 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4573.925293, 6.126040, 2429.282471>)
18:13:47 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4593.741699, 6.544103, 2423.131836>)
18:13:56 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4592.275391, 2.967259, 2407.285400>)
18:14:10 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4573.625488, 2.806339, 2377.155762>)
18:15:5 | Player "Vex" (steamId=76561198040522771) initiated disconnect process...
18:15:6 | Player "Vex" (steamId=76561198040522771) disconnected early from server (EXIT NOW).
